user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,Tenure_Group,Usage_Group,Payment_Risk
33,"2024-01-24 00:00:00",Basic,199,12.4,3,3,27,57,Yes,"1+ Year","Medium Usage","High Delay"
34,"2024-07-23 00:00:00",Basic,199,7,7,2,25,27,Yes,"1+ Year","Medium Usage","No/Low Delay"
35,"2024-07-09 00:00:00",Premium,699,4.3,4,1,32,3,No,"1+ Year","Low Usage","No/Low Delay"
36,"2023-06-11 00:00:00",Basic,199,1.9,7,4,21,58,Yes,"1+ Year","Low Usage","High Delay"
37,"2023-08-29 00:00:00",Basic,199,2.5,2,0,33,38,Yes,"1+ Year","Low Usage","No/Low Delay"
38,"2023-03-25 00:00:00",Standard,399,23.6,3,4,8,38,Yes,"6-12 Months","High Usage","High Delay"
39,"2023-09-02 00:00:00",Standard,399,8.3,4,1,34,42,No,"1+ Year","Medium Usage","No/Low Delay"
40,"2023-03-16 00:00:00",Standard,399,3.7,4,3,26,20,No,"1+ Year","Low Usage","High Delay"
41,"2023-09-29 00:00:00",Basic,199,15.7,1,0,30,34,Yes,"1+ Year","High Usage","No/Low Delay"
42,"2024-07-10 00:00:00",Basic,199,22.1,3,2,23,18,Yes,"1+ Year","High Usage","No/Low Delay"
43,"2023-11-03 00:00:00",Premium,699,15.5,8,0,20,42,No,"1+ Year","High Usage","No/Low Delay"
44,"2024-07-20 00:00:00",Premium,699,23.5,2,2,7,7,No,"6-12 Months","High Usage","No/Low Delay"
45,"2024-10-11 00:00:00",Basic,199,7.4,3,5,18,21,Yes,"1+ Year","Medium Usage","High Delay"
46,"2023-10-11 00:00:00",Standard,399,12.5,0,0,33,40,No,"1+ Year","Medium Usage","No/Low Delay"
47,"2024-03-28 00:00:00",Basic,199,8.7,2,5,1,16,Yes,"0-6 Months","Medium Usage","High Delay"
48,"2023-06-02 00:00:00",Premium,699,14.2,1,0,28,60,No,"1+ Year","Medium Usage","No/Low Delay"
49,"2023-11-12 00:00:00",Premium,699,20.9,8,1,3,27,Yes,"0-6 Months","High Usage","No/Low Delay"
50,"2023-12-29 00:00:00",Standard,399,22.5,3,5,3,15,No,"0-6 Months","High Usage","High Delay"
51,"2023-07-01 00:00:00",Premium,699,24.4,2,1,27,55,Yes,"1+ Year","High Usage","No/Low Delay"
52,"2023-09-12 00:00:00",Standard,399,4.9,5,3,2,51,Yes,"0-6 Months","Low Usage","High Delay"
53,"2024-04-26 00:00:00",Standard,399,19.8,1,3,11,55,Yes,"6-12 Months","High Usage","High Delay"
54,"2023-08-22 00:00:00",Basic,199,20.5,7,2,13,19,No,"1+ Year","High Usage","No/Low Delay"
55,"2023-10-13 00:00:00",Basic,199,16.7,6,2,2,17,No,"0-6 Months","High Usage","No/Low Delay"
56,"2023-09-25 00:00:00",Standard,399,10.3,8,2,33,60,Yes,"1+ Year","Medium Usage","No/Low Delay"
57,"2024-03-22 00:00:00",Basic,199,1.4,6,2,17,46,Yes,"1+ Year","Low Usage","No/Low Delay"
58,"2023-01-02 00:00:00",Premium,699,3.3,3,2,33,2,No,"1+ Year","Low Usage","No/Low Delay"
59,"2024-11-11 00:00:00",Premium,699,17.3,3,2,35,27,Yes,"1+ Year","High Usage","No/Low Delay"
60,"2023-11-13 00:00:00",Standard,399,16.8,1,5,21,57,Yes,"1+ Year","High Usage","High Delay"
61,"2024-11-11 00:00:00",Premium,699,8.5,4,4,27,8,Yes,"1+ Year","Medium Usage","High Delay"
62,"2023-11-08 00:00:00",Standard,399,15.6,4,3,12,35,No,"6-12 Months","High Usage","High Delay"
63,"2023-08-07 00:00:00",Standard,399,11,5,3,14,28,Yes,"1+ Year","Medium Usage","High Delay"
64,"2024-11-10 00:00:00",Premium,699,19.9,2,5,31,5,Yes,"1+ Year","High Usage","High Delay"
65,"2023-07-23 00:00:00",Premium,699,2.8,3,5,22,19,Yes,"1+ Year","Low Usage","High Delay"
66,"2024-04-11 00:00:00",Basic,199,1.6,7,4,2,54,Yes,"0-6 Months","Low Usage","High Delay"
67,"2024-11-02 00:00:00",Standard,399,18.1,6,3,13,25,Yes,"1+ Year","High Usage","High Delay"
68,"2024-12-13 00:00:00",Premium,699,22.4,1,3,1,14,Yes,"0-6 Months","High Usage","High Delay"
69,"2024-04-20 00:00:00",Premium,699,1.7,3,0,30,29,Yes,"1+ Year","Low Usage","No/Low Delay"
70,"2024-05-31 00:00:00",Premium,699,24.7,5,3,34,39,No,"1+ Year","High Usage","High Delay"
71,"2023-09-23 00:00:00",Standard,399,11.4,2,5,36,55,Yes,"1+ Year","Medium Usage","High Delay"
72,"2024-03-26 00:00:00",Basic,199,19.3,8,3,18,40,Yes,"1+ Year","High Usage","High Delay"
73,"2023-05-22 00:00:00",Basic,199,6.2,5,2,19,57,Yes,"1+ Year","Medium Usage","No/Low Delay"
74,"2024-02-22 00:00:00",Basic,199,9.9,2,5,15,13,Yes,"1+ Year","Medium Usage","High Delay"
75,"2024-08-21 00:00:00",Standard,399,11.9,0,1,35,53,No,"1+ Year","Medium Usage","No/Low Delay"
76,"2023-11-02 00:00:00",Premium,699,21.5,6,3,2,0,No,"0-6 Months","High Usage","High Delay"
77,"2023-08-13 00:00:00",Standard,399,13.7,8,4,27,57,Yes,"1+ Year","Medium Usage","High Delay"
78,"2024-02-19 00:00:00",Standard,399,12.4,6,2,28,42,Yes,"1+ Year","Medium Usage","No/Low Delay"
79,"2024-02-08 00:00:00",Premium,699,21.1,2,4,11,34,Yes,"6-12 Months","High Usage","High Delay"
80,"2023-02-21 00:00:00",Premium,699,2.6,6,1,2,55,Yes,"0-6 Months","Low Usage","No/Low Delay"
81,"2024-01-24 00:00:00",Standard,399,8.5,7,2,25,21,No,"1+ Year","Medium Usage","No/Low Delay"
82,"2023-02-23 00:00:00",Standard,399,6.7,1,3,27,1,No,"1+ Year","Medium Usage","High Delay"
83,"2023-01-21 00:00:00",Standard,399,16.4,0,0,15,60,Yes,"1+ Year","High Usage","No/Low Delay"
84,"2023-08-12 00:00:00",Premium,699,6.3,7,5,10,7,No,"6-12 Months","Medium Usage","High Delay"
85,"2023-04-28 00:00:00",Standard,399,19.3,2,4,17,38,No,"1+ Year","High Usage","High Delay"
86,"2024-01-20 00:00:00",Basic,199,3.1,0,2,20,36,Yes,"1+ Year","Low Usage","No/Low Delay"
87,"2024-12-01 00:00:00",Standard,399,2.4,3,0,13,44,No,"1+ Year","Low Usage","No/Low Delay"
88,"2024-01-15 00:00:00",Premium,699,20,0,2,8,34,Yes,"6-12 Months","High Usage","No/Low Delay"
89,"2024-03-19 00:00:00",Basic,199,16.4,0,3,33,52,Yes,"1+ Year","High Usage","High Delay"
90,"2024-10-28 00:00:00",Standard,399,17.8,6,1,30,46,No,"1+ Year","High Usage","No/Low Delay"
91,"2023-10-02 00:00:00",Standard,399,19.5,7,3,35,52,Yes,"1+ Year","High Usage","High Delay"
92,"2024-04-20 00:00:00",Standard,399,20.9,1,2,16,56,Yes,"1+ Year","High Usage","No/Low Delay"
93,"2023-12-30 00:00:00",Premium,699,8.7,7,2,25,11,Yes,"1+ Year","Medium Usage","No/Low Delay"
94,"2023-07-15 00:00:00",Standard,399,7.4,4,4,22,0,No,"1+ Year","Medium Usage","High Delay"
95,"2024-05-02 00:00:00",Basic,199,18.1,7,4,16,48,Yes,"1+ Year","High Usage","High Delay"
96,"2024-12-09 00:00:00",Premium,699,11.5,0,0,32,18,No,"1+ Year","Medium Usage","No/Low Delay"
97,"2024-03-11 00:00:00",Basic,199,16.8,5,3,20,35,Yes,"1+ Year","High Usage","High Delay"
98,"2023-05-04 00:00:00",Premium,699,8.6,7,2,36,19,Yes,"1+ Year","Medium Usage","No/Low Delay"
99,"2024-05-10 00:00:00",Premium,699,8.2,8,5,13,11,Yes,"1+ Year","Medium Usage","High Delay"
100,"2023-07-03 00:00:00",Standard,399,15.1,1,1,34,18,No,"1+ Year","High Usage","No/Low Delay"
101,"2024-07-20 00:00:00",Standard,399,17.8,2,2,1,2,No,"0-6 Months","High Usage","No/Low Delay"
102,"2023-10-19 00:00:00",Standard,399,16.1,7,0,9,55,Yes,"6-12 Months","High Usage","No/Low Delay"
103,"2024-05-04 00:00:00",Standard,399,11.3,2,0,31,16,No,"1+ Year","Medium Usage","No/Low Delay"
104,"2023-06-05 00:00:00",Basic,199,10.3,1,4,5,40,No,"0-6 Months","Medium Usage","High Delay"
105,"2024-09-12 00:00:00",Basic,199,2.6,3,0,20,35,No,"1+ Year","Low Usage","No/Low Delay"
106,"2024-08-25 00:00:00",Premium,699,19.5,6,3,15,58,Yes,"1+ Year","High Usage","High Delay"
107,"2023-08-01 00:00:00",Standard,399,14.4,0,4,20,47,Yes,"1+ Year","Medium Usage","High Delay"
108,"2023-03-18 00:00:00",Premium,699,7,1,1,14,15,No,"1+ Year","Medium Usage","No/Low Delay"
109,"2024-12-24 00:00:00",Basic,199,10.5,7,2,1,2,Yes,"0-6 Months","Medium Usage","No/Low Delay"
110,"2024-08-26 00:00:00",Standard,399,2.2,3,2,30,50,Yes,"1+ Year","Low Usage","No/Low Delay"
111,"2023-09-30 00:00:00",Premium,699,10.9,8,1,13,41,Yes,"1+ Year","Medium Usage","No/Low Delay"
112,"2023-10-23 00:00:00",Basic,199,2,4,4,5,47,Yes,"0-6 Months","Low Usage","High Delay"
113,"2024-05-27 00:00:00",Standard,399,12,4,5,8,25,No,"6-12 Months","Medium Usage","High Delay"
114,"2023-09-14 00:00:00",Premium,699,11.2,0,3,32,47,Yes,"1+ Year","Medium Usage","High Delay"
115,"2023-02-11 00:00:00",Basic,199,6.1,0,5,6,52,Yes,"6-12 Months","Medium Usage","High Delay"
116,"2024-03-22 00:00:00",Basic,199,13.2,7,2,31,11,No,"1+ Year","Medium Usage","No/Low Delay"
117,"2024-11-17 00:00:00",Premium,699,24.2,7,2,32,26,Yes,"1+ Year","High Usage","No/Low Delay"
118,"2024-07-17 00:00:00",Basic,199,8.6,7,2,11,42,No,"6-12 Months","Medium Usage","No/Low Delay"
119,"2024-02-18 00:00:00",Basic,199,2.7,4,2,30,7,No,"1+ Year","Low Usage","No/Low Delay"
120,"2024-06-14 00:00:00",Premium,699,16.6,8,3,1,26,Yes,"0-6 Months","High Usage","High Delay"
121,"2023-10-22 00:00:00",Standard,399,15.8,0,1,32,17,No,"1+ Year","High Usage","No/Low Delay"
122,"2023-01-15 00:00:00",Standard,399,3.5,3,5,32,10,Yes,"1+ Year","Low Usage","High Delay"
123,"2023-06-07 00:00:00",Premium,699,2.8,1,3,27,60,Yes,"1+ Year","Low Usage","High Delay"
124,"2024-04-28 00:00:00",Standard,399,13,4,3,19,53,Yes,"1+ Year","Medium Usage","High Delay"
125,"2023-05-20 00:00:00",Basic,199,14,6,1,30,58,No,"1+ Year","Medium Usage","No/Low Delay"
126,"2023-10-01 00:00:00",Basic,199,19.4,6,2,18,59,No,"1+ Year","High Usage","No/Low Delay"
127,"2023-12-20 00:00:00",Basic,199,18.3,7,1,19,28,No,"1+ Year","High Usage","No/Low Delay"
128,"2023-07-13 00:00:00",Standard,399,19.2,6,3,36,59,Yes,"1+ Year","High Usage","High Delay"
129,"2024-04-29 00:00:00",Premium,699,14.5,3,3,16,2,Yes,"1+ Year","Medium Usage","High Delay"
130,"2024-08-27 00:00:00",Premium,699,10,2,3,25,2,Yes,"1+ Year","Medium Usage","High Delay"
131,"2023-01-16 00:00:00",Standard,399,21.9,7,0,7,33,No,"6-12 Months","High Usage","No/Low Delay"
132,"2023-09-29 00:00:00",Premium,699,10.5,2,0,10,30,No,"6-12 Months","Medium Usage","No/Low Delay"
133,"2023-11-21 00:00:00",Standard,399,16.4,5,5,26,54,Yes,"1+ Year","High Usage","High Delay"
134,"2024-12-01 00:00:00",Premium,699,21.9,0,4,32,4,Yes,"1+ Year","High Usage","High Delay"
135,"2023-04-13 00:00:00",Standard,399,18.8,6,0,15,48,No,"1+ Year","High Usage","No/Low Delay"
136,"2023-10-28 00:00:00",Standard,399,17.5,0,0,11,20,No,"6-12 Months","High Usage","No/Low Delay"
137,"2023-07-04 00:00:00",Standard,399,11.1,3,4,24,26,Yes,"1+ Year","Medium Usage","High Delay"
138,"2024-08-20 00:00:00",Basic,199,2.4,6,4,12,43,Yes,"6-12 Months","Low Usage","High Delay"
139,"2024-04-21 00:00:00",Basic,199,11.8,4,3,15,16,No,"1+ Year","Medium Usage","High Delay"
140,"2024-03-10 00:00:00",Standard,399,4.4,7,2,35,37,Yes,"1+ Year","Low Usage","No/Low Delay"
141,"2023-04-20 00:00:00",Premium,699,11.7,4,1,17,24,No,"1+ Year","Medium Usage","No/Low Delay"
142,"2024-11-05 00:00:00",Basic,199,14.5,4,5,25,18,Yes,"1+ Year","Medium Usage","High Delay"
143,"2023-10-21 00:00:00",Standard,399,0.7,0,4,18,47,Yes,"1+ Year","Low Usage","High Delay"
144,"2024-11-06 00:00:00",Basic,199,5.9,3,4,23,16,No,"1+ Year","Medium Usage","High Delay"
145,"2024-08-16 00:00:00",Premium,699,15.9,0,2,9,50,Yes,"6-12 Months","High Usage","No/Low Delay"
146,"2023-07-25 00:00:00",Standard,399,2.7,4,2,9,47,Yes,"6-12 Months","Low Usage","No/Low Delay"
147,"2023-06-18 00:00:00",Basic,199,22,5,4,35,32,No,"1+ Year","High Usage","High Delay"
148,"2023-04-28 00:00:00",Standard,399,24.2,4,5,31,55,Yes,"1+ Year","High Usage","High Delay"
149,"2024-02-11 00:00:00",Standard,399,3.9,3,5,5,46,Yes,"0-6 Months","Low Usage","High Delay"
150,"2024-04-10 00:00:00",Premium,699,2.7,6,0,24,16,No,"1+ Year","Low Usage","No/Low Delay"
151,"2023-01-26 00:00:00",Standard,399,14.8,5,0,17,43,Yes,"1+ Year","Medium Usage","No/Low Delay"
152,"2024-04-20 00:00:00",Premium,699,8.5,3,5,36,4,No,"1+ Year","Medium Usage","High Delay"
153,"2023-11-08 00:00:00",Premium,699,16.4,1,1,20,2,No,"1+ Year","High Usage","No/Low Delay"
154,"2024-11-17 00:00:00",Standard,399,2.9,8,1,8,24,Yes,"6-12 Months","Low Usage","No/Low Delay"
155,"2024-05-16 00:00:00",Premium,699,10.8,2,3,35,41,Yes,"1+ Year","Medium Usage","High Delay"
156,"2024-03-30 00:00:00",Premium,699,23.5,4,0,27,44,Yes,"1+ Year","High Usage","No/Low Delay"
157,"2024-10-22 00:00:00",Standard,399,21.5,1,5,16,23,Yes,"1+ Year","High Usage","High Delay"
158,"2024-04-10 00:00:00",Standard,399,10.3,3,0,4,60,No,"0-6 Months","Medium Usage","No/Low Delay"
159,"2023-05-09 00:00:00",Basic,199,16.2,0,0,14,50,Yes,"1+ Year","High Usage","No/Low Delay"
160,"2023-08-27 00:00:00",Premium,699,2.2,8,1,14,37,Yes,"1+ Year","Low Usage","No/Low Delay"
161,"2023-05-14 00:00:00",Standard,399,19.8,0,2,10,54,No,"6-12 Months","High Usage","No/Low Delay"
162,"2023-01-16 00:00:00",Premium,699,20.1,1,5,17,55,Yes,"1+ Year","High Usage","High Delay"
163,"2024-03-07 00:00:00",Standard,399,14.9,0,1,16,16,Yes,"1+ Year","Medium Usage","No/Low Delay"
164,"2024-08-30 00:00:00",Premium,699,18.8,7,3,8,49,Yes,"6-12 Months","High Usage","High Delay"
165,"2024-11-05 00:00:00",Basic,199,12.8,0,5,29,50,No,"1+ Year","Medium Usage","High Delay"
166,"2024-03-12 00:00:00",Premium,699,11.7,0,0,20,30,No,"1+ Year","Medium Usage","No/Low Delay"
167,"2024-09-14 00:00:00",Premium,699,12.5,7,0,7,57,Yes,"6-12 Months","Medium Usage","No/Low Delay"
168,"2024-09-03 00:00:00",Basic,199,3.6,8,5,5,20,Yes,"0-6 Months","Low Usage","High Delay"
169,"2024-11-01 00:00:00",Premium,699,11.6,6,0,19,50,No,"1+ Year","Medium Usage","No/Low Delay"
170,"2024-02-28 00:00:00",Premium,699,18.2,3,3,36,28,No,"1+ Year","High Usage","High Delay"
171,"2023-09-19 00:00:00",Standard,399,10.3,1,2,30,27,Yes,"1+ Year","Medium Usage","No/Low Delay"
172,"2023-04-06 00:00:00",Standard,399,17.3,7,0,10,5,No,"6-12 Months","High Usage","No/Low Delay"
173,"2024-07-29 00:00:00",Standard,399,18.7,5,1,7,35,Yes,"6-12 Months","High Usage","No/Low Delay"
174,"2024-03-09 00:00:00",Premium,699,16.9,6,2,22,55,Yes,"1+ Year","High Usage","No/Low Delay"
175,"2023-08-06 00:00:00",Premium,699,24.2,4,2,4,6,No,"0-6 Months","High Usage","No/Low Delay"
176,"2023-04-28 00:00:00",Basic,199,6,1,2,31,54,Yes,"1+ Year","Medium Usage","No/Low Delay"
177,"2024-07-24 00:00:00",Standard,399,20.3,8,4,15,39,Yes,"1+ Year","High Usage","High Delay"
178,"2023-12-14 00:00:00",Basic,199,1.2,4,5,18,48,Yes,"1+ Year","Low Usage","High Delay"
179,"2023-05-26 00:00:00",Standard,399,4.9,2,4,1,42,Yes,"0-6 Months","Low Usage","High Delay"
180,"2023-12-16 00:00:00",Premium,699,2.7,8,1,2,24,Yes,"0-6 Months","Low Usage","No/Low Delay"
181,"2023-02-23 00:00:00",Basic,199,8.1,5,4,24,38,Yes,"1+ Year","Medium Usage","High Delay"
182,"2024-11-08 00:00:00",Basic,199,19,0,5,11,5,Yes,"6-12 Months","High Usage","High Delay"
183,"2023-04-27 00:00:00",Standard,399,15.4,6,2,32,13,No,"1+ Year","High Usage","No/Low Delay"
184,"2023-08-14 00:00:00",Standard,399,3.2,7,4,28,42,Yes,"1+ Year","Low Usage","High Delay"
185,"2023-09-19 00:00:00",Standard,399,0.7,4,1,4,49,Yes,"0-6 Months","Low Usage","No/Low Delay"
186,"2024-01-25 00:00:00",Standard,399,3.4,7,5,21,27,Yes,"1+ Year","Low Usage","High Delay"
187,"2023-02-13 00:00:00",Premium,699,12.8,5,0,15,25,No,"1+ Year","Medium Usage","No/Low Delay"
188,"2024-02-19 00:00:00",Standard,399,11.8,1,2,2,36,Yes,"0-6 Months","Medium Usage","No/Low Delay"
189,"2024-09-24 00:00:00",Premium,699,7.6,6,0,27,20,Yes,"1+ Year","Medium Usage","No/Low Delay"
190,"2024-06-20 00:00:00",Standard,399,2.7,1,1,24,27,Yes,"1+ Year","Low Usage","No/Low Delay"
191,"2023-03-20 00:00:00",Basic,199,21.8,5,1,26,21,No,"1+ Year","High Usage","No/Low Delay"
192,"2024-10-22 00:00:00",Premium,699,13.5,3,2,8,22,No,"6-12 Months","Medium Usage","No/Low Delay"
193,"2024-11-02 00:00:00",Basic,199,3,4,1,16,11,No,"1+ Year","Low Usage","No/Low Delay"
194,"2024-08-16 00:00:00",Basic,199,23.8,7,3,12,48,Yes,"6-12 Months","High Usage","High Delay"
195,"2024-03-28 00:00:00",Standard,399,21.7,5,1,21,28,Yes,"1+ Year","High Usage","No/Low Delay"
196,"2024-04-17 00:00:00",Premium,699,20,0,2,20,32,Yes,"1+ Year","High Usage","No/Low Delay"
197,"2023-04-03 00:00:00",Standard,399,1.9,4,0,3,41,No,"0-6 Months","Low Usage","No/Low Delay"
198,"2024-08-08 00:00:00",Premium,699,9.9,8,5,33,57,Yes,"1+ Year","Medium Usage","High Delay"
199,"2024-04-06 00:00:00",Premium,699,8.4,7,4,13,9,No,"1+ Year","Medium Usage","High Delay"
200,"2023-09-11 00:00:00",Basic,199,24.6,1,4,22,41,Yes,"1+ Year","High Usage","High Delay"
201,"2024-01-17 00:00:00",Premium,699,24.8,8,4,29,39,Yes,"1+ Year","High Usage","High Delay"
202,"2024-10-08 00:00:00",Standard,399,10.5,5,5,25,38,Yes,"1+ Year","Medium Usage","High Delay"
203,"2023-09-16 00:00:00",Premium,699,2.1,1,4,22,43,Yes,"1+ Year","Low Usage","High Delay"
204,"2024-12-16 00:00:00",Premium,699,8.7,2,2,10,19,No,"6-12 Months","Medium Usage","No/Low Delay"
205,"2023-12-03 00:00:00",Premium,699,3.7,1,2,26,35,Yes,"1+ Year","Low Usage","No/Low Delay"
206,"2023-11-13 00:00:00",Basic,199,2.8,6,4,34,23,Yes,"1+ Year","Low Usage","High Delay"
207,"2023-06-08 00:00:00",Basic,199,8.9,7,1,14,14,No,"1+ Year","Medium Usage","No/Low Delay"
208,"2024-06-23 00:00:00",Basic,199,21.2,1,4,19,49,Yes,"1+ Year","High Usage","High Delay"
209,"2023-07-05 00:00:00",Basic,199,22,2,4,22,24,Yes,"1+ Year","High Usage","High Delay"
210,"2023-09-01 00:00:00",Premium,699,18.2,0,3,11,23,No,"6-12 Months","High Usage","High Delay"
211,"2024-04-25 00:00:00",Standard,399,18.9,7,1,19,34,Yes,"1+ Year","High Usage","No/Low Delay"
212,"2024-01-27 00:00:00",Basic,199,17.1,7,3,24,49,Yes,"1+ Year","High Usage","High Delay"
213,"2023-09-14 00:00:00",Premium,699,10.8,2,1,34,51,No,"1+ Year","Medium Usage","No/Low Delay"
214,"2023-05-08 00:00:00",Basic,199,21.9,8,0,31,45,No,"1+ Year","High Usage","No/Low Delay"
215,"2024-03-23 00:00:00",Standard,399,19.2,4,3,6,57,Yes,"6-12 Months","High Usage","High Delay"
216,"2024-05-29 00:00:00",Basic,199,20.5,5,0,15,26,Yes,"1+ Year","High Usage","No/Low Delay"
217,"2023-04-12 00:00:00",Standard,399,10,1,2,16,14,Yes,"1+ Year","Medium Usage","No/Low Delay"
218,"2024-04-28 00:00:00",Premium,699,19.9,2,0,22,18,No,"1+ Year","High Usage","No/Low Delay"
219,"2023-03-23 00:00:00",Premium,699,19.1,7,3,9,39,Yes,"6-12 Months","High Usage","High Delay"
220,"2024-06-24 00:00:00",Basic,199,5.8,2,4,17,60,No,"1+ Year","Medium Usage","High Delay"
221,"2024-03-05 00:00:00",Standard,399,19.5,3,2,8,7,Yes,"6-12 Months","High Usage","No/Low Delay"
222,"2024-06-11 00:00:00",Premium,699,2,7,4,30,34,Yes,"1+ Year","Low Usage","High Delay"
223,"2023-09-04 00:00:00",Premium,699,18.1,4,3,16,0,No,"1+ Year","High Usage","High Delay"
224,"2024-06-22 00:00:00",Premium,699,5.1,1,4,27,23,Yes,"1+ Year","Medium Usage","High Delay"
225,"2024-04-26 00:00:00",Premium,699,19.8,8,4,33,1,Yes,"1+ Year","High Usage","High Delay"
226,"2023-03-11 00:00:00",Basic,199,24.5,4,5,25,1,Yes,"1+ Year","High Usage","High Delay"
227,"2023-05-17 00:00:00",Standard,399,18.5,1,4,16,47,No,"1+ Year","High Usage","High Delay"
228,"2024-05-05 00:00:00",Basic,199,13.9,2,5,23,29,No,"1+ Year","Medium Usage","High Delay"
229,"2023-02-07 00:00:00",Premium,699,20.4,1,5,12,49,No,"6-12 Months","High Usage","High Delay"
230,"2024-06-11 00:00:00",Standard,399,1.6,3,0,13,20,No,"1+ Year","Low Usage","No/Low Delay"
231,"2023-02-18 00:00:00",Standard,399,12.1,0,5,35,12,Yes,"1+ Year","Medium Usage","High Delay"
232,"2024-03-26 00:00:00",Premium,699,7.2,5,3,22,56,Yes,"1+ Year","Medium Usage","High Delay"
233,"2024-06-15 00:00:00",Standard,399,24.4,7,5,22,31,Yes,"1+ Year","High Usage","High Delay"
234,"2023-07-04 00:00:00",Standard,399,18.3,1,3,6,38,No,"6-12 Months","High Usage","High Delay"
235,"2024-04-01 00:00:00",Premium,699,8.4,1,2,19,42,Yes,"1+ Year","Medium Usage","No/Low Delay"
236,"2023-12-28 00:00:00",Premium,699,4.6,7,2,28,28,Yes,"1+ Year","Low Usage","No/Low Delay"
237,"2024-01-08 00:00:00",Premium,699,7.2,0,0,28,42,No,"1+ Year","Medium Usage","No/Low Delay"
238,"2023-02-05 00:00:00",Premium,699,23.8,2,4,11,43,No,"6-12 Months","High Usage","High Delay"
